epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.49484536051750183,0.5078858137130737,1.6832690238952637,0.5161290168762207,0.6729166507720947,0.6791309714317322
1,0.7010309100151062,0.7936913371086121,0.8435870409011841,0.5161290168762207,0.7395833134651184,0.9743071794509888
2,0.7731958627700806,0.9000426530838013,0.5766210556030273,0.5483871102333069,0.7437499761581421,0.7136995792388916
3,0.876288652420044,0.95822674036026,0.2701490819454193,0.4838709533214569,0.6812499761581421,0.8401085734367371
4,0.8659793734550476,0.9222080707550049,0.462050199508667,0.5161290168762207,0.5854166150093079,0.8070042133331299
5,0.8659793734550476,0.9371269345283508,0.43577465415000916,0.774193525314331,0.7750000357627869,0.5767214894294739
6,0.876288652420044,0.9032395482063293,0.5353009104728699,0.5483871102333069,0.5687499642372131,0.7250751256942749
7,0.8865979313850403,0.9522591233253479,0.3219697177410126,0.6129032373428345,0.7354167103767395,0.6372522115707397
8,0.9278350472450256,0.9746375679969788,0.21720673143863678,0.5161290168762207,0.543749988079071,0.8966064453125
9,0.9175257682800293,0.9684569835662842,0.25036925077438354,0.5161290168762207,0.5729166865348816,0.9583796262741089
10,0.8556700944900513,0.9482096433639526,0.46507856249809265,0.6129032373428345,0.637499988079071,0.7521763443946838
