epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5986332297325134,0.6296727061271667,0.8586627244949341,0.6103895902633667,0.6410018801689148,0.7003685832023621
1,0.6728929281234741,0.7274077534675598,0.6304656863212585,0.701298713684082,0.7841963171958923,0.5735955238342285
2,0.6938496828079224,0.7603767514228821,0.6012461185455322,0.6818181872367859,0.7548490762710571,0.6662589907646179
3,0.7157175540924072,0.7862006425857544,0.5670453310012817,0.6818181872367859,0.7239837646484375,0.7265134453773499
4,0.7394077181816101,0.8170180916786194,0.5403937101364136,0.6948052048683167,0.7825096845626831,0.8376350998878479
5,0.7448747158050537,0.8288406729698181,0.5199153423309326,0.6883116960525513,0.7585597038269043,0.7868552803993225
6,0.7558086514472961,0.8345569968223572,0.5180274248123169,0.6818181872367859,0.7796424031257629,0.6986217498779297
7,0.759453296661377,0.8511431217193604,0.49700430035591125,0.701298713684082,0.7459942102432251,0.9595434069633484
8,0.7981776595115662,0.8770471811294556,0.4585389792919159,0.7597402334213257,0.8020744919776917,0.8156258463859558
9,0.8045558333396912,0.8858335018157959,0.4370902478694916,0.7142857313156128,0.769101083278656,1.1327767372131348
10,0.8309795260429382,0.9119676351547241,0.3844170570373535,0.7467532753944397,0.8435655832290649,0.7600988149642944
11,0.8355352878570557,0.9189043045043945,0.3682795763015747,0.6558441519737244,0.7083826065063477,1.445994257926941
12,0.8510250449180603,0.9328619241714478,0.3398062288761139,0.7272727489471436,0.7801483869552612,1.1568477153778076
13,0.8624145984649658,0.9421845078468323,0.3134379982948303,0.7662337422370911,0.8315061926841736,0.7838549017906189
14,0.8742597103118896,0.9486055970191956,0.2955489754676819,0.6688311696052551,0.7270198464393616,1.2338640689849854
15,0.8892938494682312,0.9540360569953918,0.2818211019039154,0.7467532753944397,0.8059538006782532,1.1040329933166504
