epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6482758522033691,0.6901136636734009,0.8279467225074768,0.5320512652397156,0.5408448576927185,0.8269852995872498
1,0.0,0.0,0.0,NA,NA,NA
2,0.7039080262184143,0.7652226090431213,0.5919351577758789,0.5256410241127014,0.529010534286499,1.0973535776138306
3,0.0,0.0,0.0,NA,NA,NA
4,0.7167816162109375,0.7905389070510864,0.5669030547142029,0.5769230723381042,0.5825115442276001,0.94089275598526
5,0.0,0.0,0.0,NA,NA,NA
6,0.7554023265838623,0.8273657560348511,0.5214567184448242,0.5384615659713745,0.5635272264480591,1.1577050685882568
7,0.0,0.0,0.0,NA,NA,NA
8,0.7636781334877014,0.8491729497909546,0.48700952529907227,0.5256410241127014,0.5695266127586365,1.6841272115707397
9,0.0,0.0,0.0,NA,NA,NA
10,0.7567816376686096,0.8362733721733093,0.5308957695960999,0.5512820482254028,0.5767587423324585,1.3221704959869385
11,0.0,0.0,0.0,NA,NA,NA
12,0.7820689678192139,0.8691277503967285,0.47516489028930664,0.5705128312110901,0.5764299631118774,2.335886240005493
13,0.0,0.0,0.0,NA,NA,NA
14,0.8027586340904236,0.8857678174972534,0.44591838121414185,0.5769230723381042,0.6056870818138123,2.1015706062316895
15,0.0,0.0,0.0,NA,NA,NA
16,0.8082758784294128,0.8953886032104492,0.42473337054252625,0.6602563858032227,0.7040598392486572,1.4257030487060547
17,0.0,0.0,0.0,NA,NA,NA
18,0.8257471323013306,0.9096395373344421,0.39201050996780396,0.557692289352417,0.5623767375946045,2.8388493061065674
19,0.0,0.0,0.0,NA,NA,NA
