epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.550000011920929,0.576299250125885,1.2873953580856323,0.6363636255264282,0.7111110687255859,0.6595845222473145
1,0.0,0.0,0.0,NA,NA,NA
2,0.6386363506317139,0.6802693605422974,0.7670936584472656,0.5757575631141663,0.609259307384491,0.8914484977722168
3,0.0,0.0,0.0,NA,NA,NA
4,0.668181836605072,0.7358697056770325,0.6696438789367676,0.4848484992980957,0.4555555582046509,0.7101148962974548
5,0.0,0.0,0.0,NA,NA,NA
6,0.7522727251052856,0.8193686008453369,0.5382825136184692,0.6363636255264282,0.8129629492759705,0.5907403826713562
7,0.0,0.0,0.0,NA,NA,NA
8,0.7772727012634277,0.8536805510520935,0.507263720035553,0.5454545617103577,0.5888888835906982,1.1528297662734985
9,0.0,0.0,0.0,NA,NA,NA
10,0.8204545378684998,0.8929473161697388,0.43138784170150757,0.6060606241226196,0.7888888716697693,0.7274429798126221
11,0.0,0.0,0.0,NA,NA,NA
12,0.8090909123420715,0.8822203278541565,0.4326343536376953,0.6969696879386902,0.7037037014961243,1.4336299896240234
13,0.0,0.0,0.0,NA,NA,NA
14,0.8181818127632141,0.9118877053260803,0.3806490898132324,0.7575757503509521,0.7666666507720947,0.9075486063957214
15,0.0,0.0,0.0,NA,NA,NA
16,0.8704545497894287,0.9420514106750488,0.3088531494140625,0.6363636255264282,0.7037036418914795,1.3834835290908813
