epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5699999928474426,0.5180649757385254,1.8264267444610596,0.5666666626930237,0.7177777886390686,0.6150041222572327
1,0.0,0.0,0.0,NA,NA,NA
2,0.75,0.8028905391693115,1.2153544425964355,0.46666666865348816,0.6866666674613953,0.7609123587608337
3,0.0,0.0,0.0,NA,NA,NA
4,0.75,0.7998795509338379,0.9052780270576477,0.5666666626930237,0.3800000250339508,0.8807533979415894
5,0.0,0.0,0.0,NA,NA,NA
6,0.7799999713897705,0.8532717823982239,0.8829447031021118,0.3333333432674408,0.31555554270744324,0.9136731624603271
7,0.0,0.0,0.0,NA,NA,NA
8,0.8199999928474426,0.8946206569671631,0.50823575258255,0.46666666865348816,0.4466666877269745,0.8497000336647034
9,0.0,0.0,0.0,NA,NA,NA
10,0.8199999928474426,0.9076676368713379,0.6395342350006104,0.4000000059604645,0.31333333253860474,0.8577356338500977
11,0.0,0.0,0.0,NA,NA,NA
12,0.8899999856948853,0.9588518738746643,0.32574138045310974,0.5666666626930237,0.6333333253860474,0.7207238674163818
13,0.0,0.0,0.0,NA,NA,NA
14,0.9599999785423279,0.9951826930046082,0.08560160547494888,0.5333333611488342,0.508888840675354,0.8657518625259399
15,0.0,0.0,0.0,NA,NA,NA
16,0.8899999856948853,0.9435968995094299,0.4100887179374695,0.5666666626930237,0.5622222423553467,0.8119906187057495
17,0.0,0.0,0.0,NA,NA,NA
18,0.9200000166893005,0.9654756784439087,0.26615235209465027,0.6333333253860474,0.5955556035041809,0.9347673058509827
19,0.0,0.0,0.0,NA,NA,NA
