epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5,0.5802468657493591,2.009920120239258,0.6666666865348816,0.9027777910232544,0.5215031504631042
1,0.8055555820465088,0.84876549243927,0.8577301502227783,0.6666666865348816,0.8333333730697632,0.5688613057136536
2,0.8055555820465088,0.915123462677002,0.9057605266571045,0.6666666865348816,0.9444444179534912,0.5218408703804016
3,0.8333333134651184,0.9074074029922485,0.949225127696991,0.8333333134651184,0.805555522441864,0.6300684809684753
4,0.9166666865348816,0.9938271641731262,0.1172901913523674,0.75,0.805555522441864,0.7050108909606934
5,0.8888888955116272,0.9228394627571106,0.7462503910064697,0.6666666865348816,0.7083333134651184,0.8613315224647522
6,0.9166666865348816,0.9845679998397827,0.2820059061050415,0.6666666865348816,0.7777777910232544,0.5393936634063721
7,0.8888888955116272,0.9058641791343689,0.716936469078064,0.75,0.9166666865348816,0.45669078826904297
8,0.9166666865348816,0.9876543283462524,0.2366073727607727,0.5,0.8333333134651184,1.0546798706054688
9,0.8333333134651184,0.8858025074005127,1.5244029760360718,0.6666666865348816,0.9027777910232544,0.7797519564628601
10,0.8333333134651184,0.9043209552764893,0.7701379060745239,0.75,0.8333333134651184,0.7778711915016174
11,0.9444444179534912,0.9660494327545166,0.26084983348846436,0.5833333134651184,0.805555522441864,0.7594307065010071
12,0.8611111044883728,0.9583333134651184,0.4262334108352661,0.6666666865348816,0.736111044883728,0.9783616065979004
