epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.685520350933075,0.7550143599510193,1.5174052715301514,0.5806451439857483,0.5270833373069763,0.8108956813812256
1,0.7782805562019348,0.8906890749931335,0.4667256772518158,0.5161290168762207,0.5104166865348816,0.7757560610771179
2,0.8122171759605408,0.8968826532363892,0.4652037024497986,0.3870967626571655,0.5187499523162842,0.9976341724395752
3,0.8552036285400391,0.9171862602233887,0.38492947816848755,0.5483871102333069,0.6270833015441895,1.2110551595687866
4,0.8438913822174072,0.9235644936561584,0.3981426954269409,0.4516128897666931,0.46041661500930786,1.7961339950561523
5,0.8552036285400391,0.9377460479736328,0.3617735207080841,0.5483871102333069,0.4562499523162842,2.8128819465637207
6,0.8959276080131531,0.9628691077232361,0.24797788262367249,0.4838709533214569,0.4874999523162842,2.306452751159668
7,0.9072397947311401,0.9683756828308105,0.22662243247032166,0.4193548262119293,0.4479166567325592,3.801366090774536
8,0.8665158152580261,0.9528813362121582,0.2994099259376526,0.5161290168762207,0.4937499463558197,3.5746028423309326
9,0.8981900215148926,0.9629204273223877,0.26896074414253235,0.5161290168762207,0.41874992847442627,3.573909282684326
10,0.8914027214050293,0.964817464351654,0.24537822604179382,0.5483871102333069,0.4854166507720947,3.6192617416381836
11,0.918552041053772,0.975892186164856,0.20055556297302246,0.4516128897666931,0.4145832657814026,3.6527650356292725
12,0.9230769276618958,0.9783531427383423,0.1888854056596756,0.4838709533214569,0.5,3.9197347164154053
13,0.9253393411636353,0.9717594981193542,0.21237266063690186,0.5161290168762207,0.43541663885116577,4.147565841674805
14,0.9117646813392639,0.9640176892280579,0.267985075712204,0.5483871102333069,0.5249999761581421,3.0395169258117676
15,0.9434388875961304,0.9904122948646545,0.12495989352464676,0.5161290168762207,0.4520833492279053,4.497109889984131
16,0.9502262473106384,0.9836136102676392,0.164731964468956,0.5483871102333069,0.4583333134651184,4.220434665679932
17,0.9276018142700195,0.9821780920028687,0.1590956300497055,0.4516128897666931,0.4687499701976776,3.6990437507629395
18,0.9479637742042542,0.9858080744743347,0.14927938580513,0.5483871102333069,0.49791663885116577,4.0485663414001465
19,0.9434388875961304,0.9884228110313416,0.13267047703266144,0.4838709533214569,0.4374999701976776,7.032731533050537
