epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6149068474769592,0.6420962810516357,1.888839602470398,0.5,0.64000004529953,1.033983826637268
1,0.0,0.0,0.0,NA,NA,NA
2,0.6211180090904236,0.627894401550293,1.5498119592666626,0.5,0.7200000286102295,0.9468269348144531
3,0.0,0.0,0.0,NA,NA,NA
4,0.739130437374115,0.7987804412841797,0.8192197680473328,0.800000011920929,0.9600000381469727,0.4653851389884949
5,0.0,0.0,0.0,NA,NA,NA
6,0.7577639818191528,0.8267984390258789,0.6565127372741699,0.800000011920929,0.9200000762939453,0.5419251918792725
7,0.0,0.0,0.0,NA,NA,NA
8,0.7267080545425415,0.8259493112564087,0.598743736743927,0.800000011920929,0.9600000381469727,0.5125024914741516
9,0.0,0.0,0.0,NA,NA,NA
10,0.7950310707092285,0.892250657081604,0.47503170371055603,0.699999988079071,0.8400000333786011,0.531451940536499
11,0.0,0.0,0.0,NA,NA,NA
12,0.8260869383811951,0.9019758701324463,0.4121291935443878,0.699999988079071,0.8400000333786011,0.5282998085021973
13,0.0,0.0,0.0,NA,NA,NA
14,0.7888198494911194,0.8863074779510498,0.486914724111557,0.699999988079071,0.9200000166893005,0.36514320969581604
15,0.0,0.0,0.0,NA,NA,NA
16,0.8322981595993042,0.9025161862373352,0.4718245565891266,0.8999999761581421,0.9200000166893005,0.4511074423789978
17,0.0,0.0,0.0,NA,NA,NA
18,0.8571428656578064,0.9376350045204163,0.32999178767204285,0.699999988079071,1.0,0.4014855921268463
19,0.0,0.0,0.0,NA,NA,NA
