epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.4444444477558136,0.5077160000801086,1.8227356672286987,0.5,0.7638888955116272,0.6690740585327148
1,0.0,0.0,0.0,NA,NA,NA
2,0.75,0.753086507320404,2.064124345779419,0.6666666865348816,0.6666666269302368,0.8666197657585144
3,0.0,0.0,0.0,NA,NA,NA
4,0.6944444179534912,0.7608024477958679,2.5493197441101074,0.5833333134651184,0.8055555820465088,0.6266621947288513
5,0.0,0.0,0.0,NA,NA,NA
6,0.8888888955116272,0.9413579702377319,0.8331279158592224,0.4166666567325592,0.6666666865348816,0.837895393371582
7,0.0,0.0,0.0,NA,NA,NA
8,0.8055555820465088,0.8950616717338562,0.9510763883590698,0.8333333134651184,0.8888888359069824,0.45499077439308167
9,0.0,0.0,0.0,NA,NA,NA
10,0.8888888955116272,0.9058641791343689,0.5000061988830566,0.8333333134651184,0.944444477558136,0.41004276275634766
11,0.0,0.0,0.0,NA,NA,NA
12,0.8055555820465088,0.8765431642532349,0.8121865391731262,0.8333333134651184,0.8611111044883728,0.47543755173683167
13,0.0,0.0,0.0,NA,NA,NA
14,0.8055555820465088,0.9459876418113708,0.7282611727714539,0.5833333134651184,0.8888888955116272,0.5618426203727722
15,0.0,0.0,0.0,NA,NA,NA
16,0.9166666865348816,0.9783950448036194,0.22476471960544586,0.6666666865348816,0.6944444179534912,0.6687378287315369
17,0.0,0.0,0.0,NA,NA,NA
18,0.8611111044883728,0.9043209552764893,0.6780263781547546,0.75,0.8611111044883728,0.6335771083831787
19,0.0,0.0,0.0,NA,NA,NA
