epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.606249988079071,0.6558055877685547,1.643695592880249,0.5,0.5277777314186096,0.8098828196525574
1,0.6312500238418579,0.679715633392334,1.4353145360946655,0.5833333134651184,0.7083333134651184,0.6358023285865784
2,0.731249988079071,0.7809813618659973,0.9207763671875,0.5,0.9027777910232544,0.6992596983909607
3,0.768750011920929,0.8243475556373596,0.8660920858383179,0.75,0.7916666865348816,0.5393164753913879
4,0.7437499761581421,0.8445850610733032,0.5954225659370422,0.5833333134651184,0.6944444179534912,0.6439462304115295
5,0.8187500238418579,0.8892794847488403,0.499062716960907,0.6666666865348816,0.8611111044883728,0.5760170817375183
6,0.8374999761581421,0.9144397377967834,0.4165578782558441,0.5,0.7222222089767456,0.6357323527336121
7,0.8500000238418579,0.9265509843826294,0.39053812623023987,0.6666666865348816,0.805555522441864,0.5647055506706238
8,0.856249988079071,0.9381934404373169,0.3231915831565857,0.6666666865348816,0.6388888955116272,0.9525492191314697
9,0.8500000238418579,0.918034017086029,0.4347451329231262,0.6666666865348816,0.7222222089767456,0.5464236736297607
10,0.8812500238418579,0.9699172377586365,0.22256799042224884,0.6666666865348816,0.6944444179534912,1.1839417219161987
